sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_no_pass3_00000,no_pass3,What color is the background?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,11.4522,0.3873,0.22,0.0,22.5,9.14,2,image+text
synth_no_pass3_00001,no_pass3,What color is the large rectangle?,navy blue,navy | dark blue | navy,True,0.3333,1.0,1.0,False,1,navy blue,navy blue,navy blue,0.4447,0.2168,0.2173,0.0,45.5,9.14,2,image+text
synth_no_pass3_00002,no_pass3,What is the dominant color in this image?,the dominant color in this image is green,olive | olive | green | dark green,True,0.6667,1.0,1.0,False,1,the dominant color in this image is green,the dominant color in this image is green,the dominant color in this image is green,1.0093,0.498,0.5007,0.0,41.5,9.14,2,image+text
synth_no_pass3_00003,no_pass3,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,the dominant color in this image is yellow,a dominant color in this image,the dominant color in this image is yellow,0.9658,0.5051,0.4503,0.0,42.0,9.14,2,image+text
synth_no_pass3_00004,no_pass3,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,the large rectangle is white,0.7356,0.3627,0.3623,0.0,45.5,9.14,2,image+text
synth_no_pass3_00005,no_pass3,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.53,0.3054,0.2143,0.0,43.5,9.14,2,image+text
synth_no_pass3_00006,no_pass3,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,the large rectangle is white,0.713,0.3516,0.351,0.0,41.5,9.14,2,image+text
synth_no_pass3_00007,no_pass3,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,0.6,0.6667,True,1,a circle on the left side,right side,a circle on the left side,0.7248,0.4961,0.2178,0.0,40.0,9.14,2,image+text
synth_no_pass3_00008,no_pass3,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4893,0.2625,0.2165,0.0,43.0,9.14,2,image+text
synth_no_pass3_00009,no_pass3,What color is the large rectangle?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4907,0.2626,0.2175,0.0,43.0,9.14,2,image+text
synth_no_pass3_00010,no_pass3,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,the dominant color in this image is yellow,a dominant color in this image,the dominant color in this image is yellow,0.964,0.4956,0.4578,0.0,39.0,9.14,2,image+text
synth_no_pass3_00011,no_pass3,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow,yellow,yellow,0.5727,0.3049,0.2574,0.0,43.0,9.14,2,image+text
synth_no_pass3_00012,no_pass3,Is there a red shape in this image?,yes,no | no | no,False,0.0,0.6,0.6667,True,1,yes,no,yes,0.5002,0.2732,0.2167,0.0,43.0,9.14,2,image+text
synth_no_pass3_00013,no_pass3,What color is the circle in this image?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.4795,0.2574,0.212,0.0,42.5,9.14,2,image+text
synth_no_pass3_00014,no_pass3,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.4788,0.2567,0.2119,0.0,44.5,9.14,2,image+text
synth_no_pass3_00015,no_pass3,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,0.6,0.6667,True,1,a circle on the left side,right side,a circle on the left side,0.7045,0.4835,0.2103,0.0,40.0,9.14,2,image+text
synth_no_pass3_00016,no_pass3,Is the background color light or dark?,light blue,light | light | medium,False,0.0,1.0,1.0,True,1,light blue,light blue,light blue,0.4555,0.2316,0.2134,0.0,39.5,9.14,2,image+text
synth_no_pass3_00017,no_pass3,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.5225,0.3014,0.211,0.0,44.0,9.14,2,image+text
synth_no_pass3_00018,no_pass3,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue is the dominant color in this image,blue is the dominant color in this image,blue is the dominant color in this image,0.9867,0.4917,0.4847,0.0,46.0,9.14,2,image+text
synth_no_pass3_00019,no_pass3,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,the dominant color in this image is purple,0.8979,0.489,0.3987,0.0,44.5,9.14,2,image+text
synth_no_pass3_00020,no_pass3,What color is the large rectangle?,the large rectangle is green,green | green | green,True,1.0,1.0,1.0,False,1,the large rectangle is green,the large rectangle is green,the large rectangle is green,0.7345,0.3704,0.3528,0.0,43.5,9.05,2,image+text
synth_no_pass3_00021,no_pass3,What color is the background?,navy blue,navy | dark blue | blue,True,0.6667,1.0,1.0,False,1,navy blue,navy blue,navy blue,0.4485,0.2137,0.2244,0.0,47.5,9.05,2,image+text
synth_no_pass3_00022,no_pass3,What color is the circle?,pink,pink | pink | pink,True,1.0,1.0,1.0,False,1,pink,pink,pink,0.5312,0.2604,0.2601,0.0,46.5,9.05,2,image+text
synth_no_pass3_00023,no_pass3,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue is the dominant color in this image,blue is the dominant color in this image,blue is the dominant color in this image,0.9851,0.4881,0.4858,0.0,42.0,9.05,2,image+text
synth_no_pass3_00024,no_pass3,What color is the large rectangle?,the color orange,orange | orange | orange,True,1.0,1.0,1.0,False,1,the color orange,the color orange,the color orange,0.5722,0.3013,0.2601,0.0,39.5,9.05,2,image+text
synth_no_pass3_00025,no_pass3,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,is the circle on the left side,is the circle on the left side,0.9553,0.4435,0.5009,0.0,42.5,9.05,2,image+text
synth_no_pass3_00026,no_pass3,Is there a blue shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.4839,0.259,0.2145,0.0,41.5,9.05,2,image+text
synth_no_pass3_00027,no_pass3,What color is the small circle?,green,lime | lime | yellow-green,False,0.0,1.0,1.0,True,1,green,green,green,0.5382,0.31,0.2179,0.0,46.0,9.05,2,image+text
synth_no_pass3_00028,no_pass3,What is the dominant color in this image?,the dominant color in this image,orange | orange | orange,False,0.0,0.6,0.6667,True,1,the dominant color in this image,orange,the dominant color in this image,0.7407,0.4047,0.3247,0.0,46.0,9.05,2,image+text
synth_no_pass3_00029,no_pass3,What is the dominant color in this image?,the dominant color is brown,brown | brown | brown,True,1.0,1.0,1.0,False,1,the dominant color is brown,the dominant color is brown,the dominant color is brown,0.8076,0.3974,0.3995,0.0,46.0,9.05,2,image+text
synth_no_pass3_00030,no_pass3,Is the background color light or dark?,dark,light | light | light,False,0.0,0.6,0.6667,True,1,dark,light,dark,0.4516,0.2269,0.214,0.0,46.5,9.05,2,image+text
synth_no_pass3_00031,no_pass3,Is the background color light or dark?,light blue,light | light | medium,False,0.0,1.0,1.0,True,1,light blue,light blue,light blue,0.433,0.2111,0.2115,0.0,46.5,9.05,2,image+text
synth_no_pass3_00032,no_pass3,What color is the large rectangle?,brown color,brown | brown | brown,True,1.0,1.0,1.0,False,1,brown color,brown color,brown color,0.5297,0.2581,0.2606,0.0,45.0,9.05,2,image+text
synth_no_pass3_00033,no_pass3,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,the dominant color in this image is purple,0.9001,0.4912,0.3981,0.0,43.5,9.05,2,image+text
synth_no_pass3_00034,no_pass3,Is there a blue shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.4756,0.2542,0.211,0.0,44.0,9.05,2,image+text
synth_no_pass3_00035,no_pass3,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.5332,0.309,0.2137,0.0,44.0,9.05,2,image+text
synth_no_pass3_00036,no_pass3,What color is the large rectangle?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4835,0.2589,0.2135,0.0,45.0,9.05,2,image+text
synth_no_pass3_00037,no_pass3,What is the dominant color in this image?,the dominant color in this image,orange | orange | orange,False,0.0,0.6,0.6667,True,1,the dominant color in this image,orange,the dominant color in this image,0.7161,0.3999,0.3056,0.0,47.0,9.05,2,image+text
synth_no_pass3_00038,no_pass3,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,the dominant color in this image is purple,0.9062,0.4943,0.4012,0.0,47.0,9.05,2,image+text
synth_no_pass3_00039,no_pass3,Is the background color light or dark?,dark,light | light | light,False,0.0,0.6,0.6667,True,1,dark,light,dark,0.4364,0.2129,0.2132,0.0,42.5,9.05,2,image+text
synth_no_pass3_00040,no_pass3,Is the background color light or dark?,dark blue,dark | dark | dark,False,0.0,1.0,1.0,True,1,dark blue,dark blue,dark blue,0.4585,0.2348,0.2127,0.0,45.0,9.05,2,image+text
synth_no_pass3_00041,no_pass3,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,the large rectangle is white,0.7151,0.3497,0.3549,0.0,41.0,9.05,2,image+text
synth_no_pass3_00042,no_pass3,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.4858,0.2613,0.2139,0.0,41.0,9.05,2,image+text
synth_no_pass3_00043,no_pass3,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color is green,the dominant color in this image is green,0.8508,0.4881,0.3512,0.0,45.0,9.05,2,image+text
synth_no_pass3_00044,no_pass3,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color is green,the dominant color in this image is green,0.853,0.4898,0.3524,0.0,46.5,9.05,2,image+text
synth_no_pass3_00045,no_pass3,What color is the large rectangle?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.5302,0.3055,0.2142,0.0,43.0,9.05,2,image+text
